Name,Type,Status,City,State_Province,Country,Latitude,Longitude,Google,Website,Facebook,Instagram,URL,Yelp,TripAdvisor,Untappd,GLINTCAP,ShopCiders,Alternate_Name,TTB
Seattle Cider Company,Producer,Active,Seattle,Washington,USA,47.560327,-122.337605,https://www.google.com/maps?cid=10339393864619567754,http://www.seattlecidercompany.com/,,https://www.instagram.com/seattleciderco/,http://www.seattlecidercompany.com/,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,http://glintcap.org/seattle-cider-company/,https://shopciders.com/seattle_cider_company,,
Seed + Stone Cidery,Producer,Active,Rochester,New York,USA,43.161169,-77.583165,https://maps.google.com/?cid=6105634761869480859,https://www.seedandstonecidery.com/,,https://www.instagram.com/seedandstonecidery/,https://www.seedandstonecidery.com/,https://www.yelp.com/biz/seed-stone-cidery-rochester,,https://untappd.com/w/seed-stone-cidery/394956,,,,
Serpentine Cider,Producer,Active,San Diego,California,USA,32.895393,-117.137246,https://maps.google.com/?cid=296132755660138594,http://www.serpentinecider.com/,https://www.facebook.com/SerpentineCiderSD/,https://www.instagram.com/serpentine_cider/,http://www.serpentinecider.com/,https://www.yelp.com/biz/serpentine-cider-san-diego-3,,https://untappd.com/w/serpentine-cider/364389,https://glintcap.org/serpentine-cider/,https://shopciders.com/serpentine_cider,,CA-W-22443
Shacksbury Cider,Producer,Active,Vergennes,Vermont,USA,44.177191,-73.245354,https://maps.google.com/?cid=3671325142868281556,http://www.shacksbury.com/,,https://www.instagram.com/shacksbury/,http://www.shacksbury.com/,https://www.yelp.com/biz/shacksbury-cider-vergennes,https://www.tripadvisor.com/Attraction_Review-g57429-d12946890,https://untappd.com/w/shacksbury-cider/129613,  ,,,
Ship's Wheel Hard Cider,Producer,Active,North Charleston,South Carolina,USA,32.8812747,-79.9751994,https://maps.google.com/?cid=4256401826552152650,https://www.shipswheelhardcider.com/,https://www.facebook.com/ShipsWheelhardcider/,https://www.instagram.com/shipswheelhardcider/,https://www.shipswheelhardcider.com/,https://www.yelp.com/biz/ships-wheel-hard-cider-north-charleston,,https://untappd.com/w/ships-wheel/356046,,https://shopciders.com/ship_s_wheel_hard_cider,,SC-W-21029
Sierra Cider,Producer,Active,Mariposa,California,USA,37.495517,-119.819732,https://maps.google.com/?cid=4945510400217384916,http://sierracider.com/,,https://www.instagram.com/sierra_cider/,http://sierracider.com/,,,https://untappd.com/w/sierra-cider/260397,http://glintcap.org/sierra-cider/,https://shopciders.com/sierra_cider,,CA-W-23940
Skarsgard Farms,Producer,Active,Albuquerque,New Mexico,USA,35.119852,-106.6173,https://maps.google.com/?cid=4805550860472555420,http://skarsgardfarms.com/,,,http://skarsgardfarms.com/,https://www.yelp.com/biz/skarsgard-farms-albuquerque-3,,https://untappd.com/w/skarsgard-farms/133802,,,,
Slanted Cider Company,Producer,Active,Federal Way,Washington,USA,47.318301,-122.401608,https://maps.google.com/?ftid=0x549056c61cec0fe7:0x4d8c28c3533fba0d,https://www.instagram.com/slantedcider/,,,https://www.instagram.com/slantedcider/,,,https://untappd.com/w/slanted-cider-company/292574,,,,
Working Hands Fermentation,Producer,Active,Hood River,Oregon,USA,45.7024656,-121.5233966,https://www.google.com/maps?cid=5832524138589986526,https://www.workinghandsfermentation.com/,https://www.facebook.com/workinghandsbeer,https://www.instagram.com/workinghandsbeer/,https://www.workinghandsfermentation.com/,https://www.yelp.com/biz/working-hands-fermentation-no-title,,https://untappd.com/WorkingHandsBeer,http://glintcap.org/slopeswell-cider-company/,,Slopeswell Cider,OR-W-21150
Sly Clyde Ciderworks,Producer,Active,Hampton,Virginia,USA,37.01651,-76.319663,https://maps.google.com/?cid=17208921279176695082,https://www.slyclyde.com,https://www.facebook.com/SlyClydeCiderworks/,https://www.instagram.com/slyclydeciderworks/,https://www.slyclyde.com,https://www.yelp.com/biz/sly-clyde-ciderworks-hampton,https://www.tripadvisor.com/Attraction_Review-g57804-d14967417,https://untappd.com/w/sly-clyde-ciderworks/388703,https://glintcap.org/results/commercial/medalists/sly-clyde-ciderworks/,,,VA-W-21125
